"","itemset","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12"
"847",847,"domestic eggs","abrasive cleaner","coffee","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"848",848,"coffee","fish","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"849",849,"cake bar","frozen vegetables","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"850",850,"coffee","butter","baking powder","frozen vegetables","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA
"851",851,"coffee","frozen meals","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"852",852,"butter","coffee","domestic eggs","ice cream","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"853",853,"honey","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",854,"fish","grapes","baking powder","abrasive cleaner","butter",NA,NA,NA,NA,NA,NA,NA
"855",855,"honey","abrasive cleaner","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"856",856,"frozen vegetables","coffee","baking powder","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"857",857,"frozen meals","ice cream","domestic eggs","coffee","fish","honey",NA,NA,NA,NA,NA,NA
"858",858,"domestic eggs","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",859,"fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",860,"coffee","frozen meals","butter","honey",NA,NA,NA,NA,NA,NA,NA,NA
"861",861,"frozen meals","grapes","abrasive cleaner","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"862",862,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",863,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",864,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",865,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866",866,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867",867,"baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868",868,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",869,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870",870,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871",871,"coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"872",872,"butter","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",873,"cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874",874,"ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875",875,"frozen vegetables","frozen meals","honey","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"876",876,"coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",877,"frozen meals","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"878",878,"butter","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"879",879,"fish","frozen meals","ice cream","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"880",880,"baking powder","butter","frozen meals","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"881",881,"cake bar","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"882",882,"baking powder","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",883,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",884,"grapes","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"885",885,"honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886",886,"baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"887",887,"fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888",888,"grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889",889,"domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"890",890,"cake bar","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA,NA
"891",891,"butter","coffee","abrasive cleaner","ice cream","baking powder","fish",NA,NA,NA,NA,NA,NA
"892",892,"ice cream","baking powder","coffee","butter","grapes","frozen meals",NA,NA,NA,NA,NA,NA
"893",893,"domestic eggs","coffee","frozen meals","abrasive cleaner","fish","cake bar",NA,NA,NA,NA,NA,NA
"894",894,"frozen vegetables","baking powder","cake bar","abrasive cleaner","ice cream","butter",NA,NA,NA,NA,NA,NA
"895",895,"baking powder","butter","honey","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"896",896,"coffee","butter","fish","domestic eggs","baking powder","frozen vegetables",NA,NA,NA,NA,NA,NA
"897",897,"frozen vegetables","honey","cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"898",898,"fish","ice cream","honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"899",899,"abrasive cleaner","domestic eggs","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"900",900,"coffee","butter","grapes","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"901",901,"frozen vegetables","baking powder","domestic eggs","butter","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA
"902",902,"domestic eggs","ice cream","frozen meals","coffee","fish",NA,NA,NA,NA,NA,NA,NA
"903",903,"coffee","butter","baking powder","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"904",904,"baking powder","cake bar","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"905",905,"domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906",906,"honey","abrasive cleaner","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"907",907,"butter","frozen vegetables","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"908",908,"frozen vegetables","baking powder","grapes","butter","coffee","honey",NA,NA,NA,NA,NA,NA
"909",909,"butter","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"910",910,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911",911,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",912,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",913,"frozen vegetables","ice cream","honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"914",914,"ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915",915,"coffee","cake bar","frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"916",916,"coffee","fish","frozen meals","honey","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA
"917",917,"baking powder","frozen vegetables","honey","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA
"918",918,"frozen vegetables","frozen meals","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"919",919,"grapes","frozen vegetables","baking powder","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA
"920",920,"frozen vegetables","butter","coffee","abrasive cleaner","ice cream","fish",NA,NA,NA,NA,NA,NA
"921",921,"frozen vegetables","coffee","fish","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"922",922,"fish","frozen meals","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"923",923,"baking powder","coffee","butter","grapes","cake bar","frozen meals",NA,NA,NA,NA,NA,NA
"924",924,"baking powder","butter","grapes","frozen vegetables","cake bar","frozen meals",NA,NA,NA,NA,NA,NA
"925",925,"ice cream","grapes","honey","butter","cake bar",NA,NA,NA,NA,NA,NA,NA
"926",926,"honey","ice cream","grapes","domestic eggs","butter","frozen vegetables",NA,NA,NA,NA,NA,NA
"927",927,"fish","butter","baking powder","frozen meals","frozen vegetables","coffee",NA,NA,NA,NA,NA,NA
"928",928,"cake bar","butter","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA
"929",929,"coffee","baking powder","frozen vegetables","abrasive cleaner","butter","frozen meals",NA,NA,NA,NA,NA,NA
"930",930,"cake bar","grapes","coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA
"931",931,"butter","coffee","baking powder","frozen vegetables","honey","frozen meals",NA,NA,NA,NA,NA,NA
"932",932,"grapes","frozen meals","coffee","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"933",933,"coffee","fish","ice cream","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"934",934,"ice cream","frozen vegetables","frozen meals","coffee","grapes",NA,NA,NA,NA,NA,NA,NA
"935",935,"abrasive cleaner","ice cream","grapes","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"936",936,"frozen meals","butter","coffee","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA
"937",937,"domestic eggs","fish","cake bar","baking powder","coffee","butter",NA,NA,NA,NA,NA,NA
"938",938,"fish","grapes","butter","frozen meals","ice cream","cake bar",NA,NA,NA,NA,NA,NA
"939",939,"frozen meals","butter","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"940",940,"abrasive cleaner","butter","coffee","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"941",941,"baking powder","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"942",942,"ice cream","abrasive cleaner","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"943",943,"butter","baking powder","coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"944",944,"frozen vegetables","abrasive cleaner","ice cream","butter","coffee",NA,NA,NA,NA,NA,NA,NA
"945",945,"baking powder","ice cream","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"946",946,"ice cream","frozen vegetables","coffee","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"947",947,"honey","fish","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"948",948,"butter","frozen meals","fish","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"949",949,"coffee","honey","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"950",950,"honey","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"951",951,"abrasive cleaner","frozen vegetables","baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"952",952,"frozen meals","domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"953",953,"ice cream","cake bar","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"954",954,"baking powder","domestic eggs","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"955",955,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"956",956,"frozen vegetables","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"957",957,"butter","fish","frozen meals","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"958",958,"butter","baking powder","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"959",959,"baking powder","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"960",960,"fish","frozen vegetables","frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA
"961",961,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"962",962,"butter","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"963",963,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"964",964,"fish","frozen meals","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"965",965,"baking powder","cake bar","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"966",966,"domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967",967,"frozen meals","fish","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"968",968,"baking powder","frozen meals","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA
"969",969,"fish","frozen meals","domestic eggs","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"970",970,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"971",971,"frozen meals","frozen vegetables","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA
"972",972,"coffee","baking powder","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"973",973,"fish","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"974",974,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975",975,"frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"976",976,"fish","coffee","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA
"977",977,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"978",978,"honey","frozen meals","ice cream","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"979",979,"frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"980",980,"honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"981",981,"honey","domestic eggs","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"982",982,"frozen vegetables","domestic eggs","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA
"983",983,"coffee","domestic eggs","butter","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"984",984,"butter","coffee","baking powder","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA
"985",985,"baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"986",986,"baking powder","domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"987",987,"coffee","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"988",988,"frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"989",989,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990",990,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"991",991,"frozen meals","cake bar","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"992",992,"honey","abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"993",993,"baking powder","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"994",994,"baking powder","fish","domestic eggs","cake bar","butter",NA,NA,NA,NA,NA,NA,NA
"995",995,"ice cream","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"996",996,"frozen vegetables","ice cream","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA,NA
"997",997,"butter","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"998",998,"honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999",999,"ice cream","fish","domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA
"1000",1000,"butter","baking powder","cake bar","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"1001",1001,"coffee","baking powder","fish","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1002",1002,"abrasive cleaner","honey","frozen vegetables","fish","ice cream",NA,NA,NA,NA,NA,NA,NA
"1003",1003,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004",1004,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005",1005,"abrasive cleaner","coffee","fish","butter","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA
"1006",1006,"grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007",1007,"butter","coffee","baking powder","fish","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"1008",1008,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009",1009,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010",1010,"baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011",1011,"butter","grapes","baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"1012",1012,"baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013",1013,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014",1014,"ice cream","grapes","domestic eggs","honey","fish",NA,NA,NA,NA,NA,NA,NA
"1015",1015,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016",1016,"grapes","ice cream","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017",1017,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1018",1018,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1019",1019,"frozen meals","butter","frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA
"1020",1020,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021",1021,"baking powder","abrasive cleaner","grapes","cake bar","butter","coffee","frozen meals",NA,NA,NA,NA,NA
"1022",1022,"butter","abrasive cleaner","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"1023",1023,"cake bar","butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024",1024,"baking powder","coffee","butter","abrasive cleaner","fish","frozen meals",NA,NA,NA,NA,NA,NA
"1025",1025,"frozen meals","baking powder","coffee","butter","ice cream",NA,NA,NA,NA,NA,NA,NA
"1026",1026,"domestic eggs","grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1027",1027,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028",1028,"frozen meals","cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"1029",1029,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030",1030,"ice cream","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031",1031,"butter","coffee","frozen vegetables","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1032",1032,"grapes","honey","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"1033",1033,"frozen meals","fish","frozen vegetables","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"1034",1034,"grapes","domestic eggs","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035",1035,"baking powder","grapes","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA
"1036",1036,"abrasive cleaner","butter","frozen vegetables","grapes","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"1037",1037,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038",1038,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039",1039,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040",1040,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041",1041,"ice cream","grapes","abrasive cleaner","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1042",1042,"frozen vegetables","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043",1043,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1044",1044,"frozen vegetables","domestic eggs","abrasive cleaner","honey","fish",NA,NA,NA,NA,NA,NA,NA
"1045",1045,"coffee","ice cream","butter","frozen vegetables","domestic eggs","fish","frozen meals",NA,NA,NA,NA,NA
"1046",1046,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1047",1047,"cake bar","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"1048",1048,"domestic eggs","cake bar","baking powder","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"1049",1049,"coffee","abrasive cleaner","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1050",1050,"butter","ice cream","grapes","baking powder","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"1051",1051,"butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"1052",1052,"abrasive cleaner","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053",1053,"cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054",1054,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055",1055,"frozen vegetables","butter","fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"1056",1056,"fish","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057",1057,"coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058",1058,"fish","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1059",1059,"frozen meals","fish","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060",1060,"grapes","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061",1061,"baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062",1062,"cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1063",1063,"butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064",1064,"baking powder","butter","abrasive cleaner","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1065",1065,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1066",1066,"grapes","butter","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA
"1067",1067,"baking powder","grapes","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"1068",1068,"frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069",1069,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070",1070,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071",1071,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072",1072,"butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1073",1073,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074",1074,"grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075",1075,"frozen vegetables","frozen meals","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"1076",1076,"abrasive cleaner","frozen vegetables","butter","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"1077",1077,"grapes","baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1078",1078,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079",1079,"cake bar","frozen meals","ice cream","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA
"1080",1080,"baking powder","coffee","ice cream","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1081",1081,"grapes","baking powder","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"1082",1082,"butter","frozen meals","grapes","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"1083",1083,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084",1084,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085",1085,"coffee","grapes","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1086",1086,"cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087",1087,"cake bar","butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"1088",1088,"grapes","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1089",1089,"ice cream","domestic eggs","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"1090",1090,"coffee","butter","baking powder","honey","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"1091",1091,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092",1092,"grapes","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093",1093,"honey","grapes","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1094",1094,"honey","butter","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1095",1095,"coffee","honey","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1096",1096,"fish","abrasive cleaner","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097",1097,"cake bar","grapes","frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"1098",1098,"cake bar","butter","domestic eggs","grapes","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"1099",1099,"frozen meals","baking powder","frozen vegetables","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"1100",1100,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101",1101,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102",1102,"honey","grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103",1103,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104",1104,"fish","butter","domestic eggs","cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"1105",1105,"baking powder","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106",1106,"butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107",1107,"fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108",1108,"abrasive cleaner","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109",1109,"baking powder","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110",1110,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111",1111,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112",1112,"baking powder","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113",1113,"abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114",1114,"coffee","cake bar","domestic eggs","frozen meals","baking powder",NA,NA,NA,NA,NA,NA,NA
"1115",1115,"domestic eggs","ice cream","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1116",1116,"abrasive cleaner","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117",1117,"coffee","fish","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"1118",1118,"baking powder","domestic eggs","frozen meals","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"1119",1119,"butter","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120",1120,"cake bar","baking powder","frozen meals","grapes","fish",NA,NA,NA,NA,NA,NA,NA
"1121",1121,"frozen meals","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122",1122,"frozen vegetables","abrasive cleaner","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
